Player,Pos,Squad,Age,Born,90s,PassAtt,Live,Dead,FK,ThroughBalls,SideSwitch,Cross,Throw-Ins,Corners,InSwingCorner,OutSwingCorner,StraightCorner,PassesCmp,PassOffside,PassesBlocked
Dominik Livaković,GK,Croatia,29,1995,3.0,93,71,22,5,0,0,0,0,0,0,0,0,69,0,0
Stanislav Lobotka,MF,Slovakia,29,1994,4.3,243,240,2,2,0,1,0,0,0,0,0,0,228,1,0
Saba Lobzhanidze,FW,Georgia,29,1994,0.1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Luka Lochoshvili,"DF,MF",Georgia,25,1998,1.9,57,45,12,2,0,0,4,10,0,0,0,0,41,0,1
Fermin López,MF,Spain,20,2003,0.3,10,9,0,0,0,0,0,0,0,0,0,0,8,1,0
Romelu Lukaku,FW,Belgium,30,1993,4.0,57,54,2,0,1,0,0,0,0,0,0,0,38,1,1
Dodi Lukebakio,"FW,DF",Belgium,26,1997,0.7,30,27,3,1,0,0,1,1,1,1,0,0,24,0,1
Saša Lukić,MF,Serbia,27,1996,2.3,150,146,4,4,0,0,1,0,0,0,0,0,142,0,0
Andriy Lunin,GK,Ukraine,24,1999,1.0,24,20,4,0,0,0,0,0,0,0,0,0,23,0,0
Mike Maignan,GK,France,28,1995,6.3,167,131,34,9,0,0,0,0,0,0,0,0,136,2,0
Kobbie Mainoo,MF,England,18,2005,4.1,203,194,7,1,2,0,3,0,0,0,0,0,183,2,3
Lovro Majer,"FW,MF",Croatia,26,1998,1.6,101,97,4,2,0,1,4,1,1,0,0,0,92,0,4
Donyell Malen,FW,Netherlands,25,1999,2.1,56,53,2,2,0,0,8,0,0,0,0,0,40,1,4
Ruslan Malinovskyi,MF,Ukraine,30,1993,0.4,28,25,3,0,0,1,3,0,3,3,0,0,24,0,0
Giorgi Mamardashvili,GK,Georgia,23,2000,4.0,124,61,63,19,0,0,0,0,0,0,0,0,66,0,0
Dennis Man,MF,Romania,25,1998,3.0,83,76,7,0,1,1,8,0,7,2,0,0,51,0,7
Rey Manaj,FW,Albania,26,1997,1.7,28,25,3,0,0,0,0,0,0,0,0,0,17,0,2
Gianluca Mancini,DF,Italy,27,1996,1.0,66,65,1,0,0,0,0,0,0,0,0,0,60,0,0
Orel Mangala,MF,Belgium,25,1998,1.5,70,69,1,1,0,0,0,0,0,0,0,0,68,0,1
Marius Marin,MF,Romania,25,1998,3.4,99,99,0,0,0,0,1,0,0,0,0,0,80,0,0
Răzvan Marin,MF,Romania,27,1996,3.9,109,104,5,3,2,1,5,0,1,0,1,0,86,0,1
Ádám Martin,"FW,DF",Hungary,29,1994,0.5,17,16,1,0,0,0,1,0,0,0,0,0,10,0,1
Mykola Matviyenko,DF,Ukraine,27,1996,3.0,231,221,8,4,1,1,1,3,0,0,0,0,212,2,1
Kylian Mbappé,FW,France,25,1998,5.2,182,174,7,1,0,5,7,2,2,1,1,0,158,1,4
John McGinn,"MF,FW",Scotland,29,1994,2.6,45,44,1,0,0,0,4,0,0,0,0,0,28,0,4
Callum McGregor,MF,Scotland,30,1993,2.7,119,115,4,2,0,0,1,0,0,0,0,0,108,0,3
Scott McKenna,DF,Scotland,27,1996,1.5,93,80,12,1,0,1,1,8,0,0,0,0,75,1,3
Kenny McLean,MF,Scotland,32,1992,0.5,26,25,1,1,0,0,0,0,0,0,0,0,19,0,0
Scott McTominay,MF,Scotland,27,1996,3.0,62,52,10,4,1,0,9,1,5,4,1,0,42,0,2
Anzor Mekvabishvili,MF,Georgia,22,2001,2.1,91,90,1,1,0,2,1,0,0,0,0,0,76,0,3
Memphis,"FW,MF",Netherlands,29,1994,5.1,163,119,41,6,3,0,31,2,23,11,9,0,113,3,10
Nuno Mendes,DF,Portugal,21,2002,4.7,365,324,41,12,0,4,12,29,0,0,0,0,322,0,4
Mikel Merino,"MF,FW",Spain,27,1996,2.0,131,131,0,0,1,1,2,0,0,0,0,0,107,0,5
Valentin Mihaila,MF,Romania,23,2000,1.3,27,25,2,0,0,1,1,1,1,1,0,0,21,0,0
Srđan Mijailović,DF,Serbia,30,1993,0.8,25,20,5,0,0,0,3,5,0,0,0,0,14,0,0
Georges Mikautadze,FW,Georgia,23,2000,3.8,70,60,10,2,0,2,4,0,0,0,0,0,55,0,4
Nikola Milenković,DF,Serbia,26,1997,3.0,227,224,3,3,0,0,0,0,0,0,0,0,212,0,0
Sergej Milinković-Savić,MF,Serbia,28,1995,1.3,76,76,0,0,0,1,3,0,0,0,0,0,63,0,0
Mario Mitaj,DF,Albania,20,2003,3.0,147,115,32,7,0,0,2,25,0,0,0,0,127,0,3
Aleksandar Mitrović,FW,Serbia,29,1994,2.7,53,47,6,1,0,0,0,0,0,0,0,0,38,0,1
Maximilian Mittelstädt,DF,Germany,26,1997,3.4,217,197,18,2,0,0,24,16,0,0,0,0,182,2,2
Filip Mladenović,DF,Serbia,32,1991,1.2,61,45,16,1,0,0,8,14,1,0,1,0,44,0,2
Jan Mlakar,MF,Slovenia,25,1998,3.3,62,62,0,0,2,0,1,0,0,0,0,0,37,0,2
Jakub Moder,MF,Poland,24,1999,2.0,119,112,6,5,0,0,3,0,0,0,0,0,94,1,2
Luka Modrić,MF,Croatia,38,1985,2.6,221,206,15,9,1,1,9,1,4,3,0,0,190,0,5
Vasile Mogos,DF,Romania,31,1992,0.4,6,3,3,0,0,0,0,3,0,0,0,0,6,0,0
Álvaro Morata,FW,Spain,31,1992,5.0,110,102,8,0,0,0,2,0,0,0,0,0,78,0,5
Lewis Morgan,DF,Scotland,27,1996,0.0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,1
Ernest Muçi,FW,Albania,22,2001,0.2,9,9,0,0,0,0,0,0,0,0,0,0,7,0,0
Mykhailo Mudryk,"FW,MF",Ukraine,23,2001,1.9,52,46,6,2,2,0,10,0,4,3,0,0,36,0,2
Mert Müldür,"DF,MF",Türkiye,24,1999,3.8,167,144,23,1,1,1,5,22,0,0,0,0,130,0,3
Thomas Müller,"MF,FW",Germany,34,1989,0.6,32,28,3,0,0,0,5,2,0,0,0,0,20,1,0
Jamal Musiala,FW,Germany,20,2003,4.7,168,168,0,0,1,0,3,0,0,0,0,0,148,0,3
Phillipp Mwene,DF,Austria,30,1994,2.2,109,94,15,1,0,0,10,14,0,0,0,0,91,0,3
Vitaliy Mykolenko,DF,Ukraine,24,1999,0.6,19,18,1,0,0,0,3,1,0,0,0,0,14,0,1
Joakim Mæhle,"DF,MF",Denmark,26,1997,3.1,157,137,19,0,0,0,10,19,0,0,0,0,129,1,2
Nacho,DF,Spain,34,1990,2.9,135,119,16,11,0,0,0,2,0,0,0,0,127,0,1
Ádám Nagy,MF,Hungary,28,1995,1.8,74,69,5,1,0,1,1,1,0,0,0,0,59,0,2
Zsolt Nagy,DF,Hungary,30,1993,0.2,8,7,1,0,0,0,2,1,0,0,0,0,4,0,1
Jesús Navas,DF,Spain,38,1985,1.7,71,56,15,2,0,1,9,13,0,0,0,0,56,0,2
Dan Ndoye,"MF,DF",Switzerland,23,2000,4.5,108,100,8,1,3,0,6,7,0,0,0,0,84,0,4
Pedro Neto,"DF,FW",Portugal,23,2000,1.3,89,85,4,1,1,0,11,2,1,1,0,0,70,0,2
Manuel Neuer,GK,Germany,37,1986,5.3,145,117,28,9,0,0,0,1,0,0,0,0,123,0,0
João Neves,MF,Portugal,19,2004,0.9,74,72,2,1,0,0,1,0,0,0,0,0,68,0,2
Rúben Neves,MF,Portugal,26,1997,1.4,117,108,9,2,1,1,9,1,6,2,3,0,100,0,0
Florin Niță,GK,Romania,36,1987,4.0,148,82,66,19,0,0,0,0,0,0,0,0,87,0,0
Matheus Nunes,MF,Portugal,25,1998,0.2,18,18,0,0,0,0,1,0,0,0,0,0,16,0,0
Christian Nørgaard,MF,Denmark,29,1994,0.4,42,41,1,0,0,0,2,1,0,0,0,0,34,0,1
Adam Obert,DF,Slovakia,21,2002,0.3,27,22,5,1,0,1,1,4,0,0,0,0,22,0,2
Jan Oblak,GK,Slovenia,31,1993,4.3,128,67,61,16,0,0,0,0,0,0,0,0,79,0,0
Darius Olaru,MF,Romania,25,1998,0.3,17,14,3,1,0,0,1,1,0,0,0,0,14,0,0
Dani Olmo,"MF,FW",Spain,25,1998,4.8,186,181,2,2,3,1,4,0,0,0,0,0,151,3,4
Amadou Onana,MF,Belgium,22,2001,4.0,240,233,6,6,1,0,0,0,0,0,0,0,216,1,1
Loïs Openda,FW,Belgium,23,2000,0.8,7,7,0,0,0,0,2,0,0,0,0,0,3,0,0
Willi Orban,DF,Hungary,31,1992,3.0,138,134,3,2,0,0,0,1,0,0,0,0,118,1,3
Mikel Oyarzabal,FW,Spain,26,1997,2.2,63,59,4,1,0,0,2,0,0,0,0,0,58,0,0
Salih Özcan,MF,Türkiye,26,1998,1.7,71,69,2,2,0,0,0,0,0,0,0,0,57,0,1
João Palhinha,MF,Portugal,28,1995,3.3,188,186,2,2,0,4,0,0,0,0,0,0,166,0,2
Cole Palmer,"MF,FW",England,21,2002,1.7,79,70,9,2,1,0,9,6,1,0,1,0,59,0,0
Mario Pašalić,"FW,MF",Croatia,28,1995,1.3,40,40,0,0,1,0,1,0,0,0,0,0,34,0,2
Strahinja Pavlović,DF,Serbia,22,2001,3.0,180,174,5,3,0,0,6,2,0,0,0,0,137,1,5
Pedri,MF,Spain,21,2002,2.1,89,89,0,0,1,0,1,0,0,0,0,0,80,0,2
Peter Pekarík,DF,Slovakia,37,1986,4.2,121,95,26,0,0,0,5,26,0,0,0,0,107,0,3
Lorenzo Pellegrini,"FW,MF",Italy,27,1996,2.4,107,101,6,2,1,0,6,0,4,1,2,0,91,0,2
Patrick Pentz,GK,Austria,27,1997,4.0,148,125,23,8,0,0,0,0,0,0,0,0,120,0,0
Pepe,DF,Portugal,40,1983,4.5,405,392,11,7,0,3,0,0,0,0,0,0,379,2,0
Danilo Pereira,DF,Portugal,32,1991,1.0,87,86,1,1,0,0,0,0,0,0,0,0,83,0,0
Ayoze Pérez,FW,Spain,30,1993,0.1,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0
Ivan Perišić,"DF,FW",Croatia,34,1989,1.5,63,56,7,0,0,0,14,7,0,0,0,0,44,0,2
Bruno Petković,FW,Croatia,29,1994,1.0,20,18,2,0,0,0,0,0,0,0,0,0,16,0,0
Krzysztof Piątek,FW,Poland,28,1995,0.7,10,10,0,0,0,0,1,0,0,0,0,0,6,0,0
Jordan Pickford,GK,England,29,1994,7.7,307,241,66,15,0,0,0,0,0,0,0,0,229,0,0
Jakub Piotrowski,MF,Poland,26,1997,0.6,24,22,2,2,1,0,1,0,0,0,0,0,16,0,2
Marin Pongračić,DF,Croatia,26,1997,2.0,124,118,6,6,0,0,0,0,0,0,0,0,113,0,0
Ryan Porteous,DF,Scotland,24,1999,0.5,25,21,4,0,0,0,0,4,0,0,0,0,19,0,0
Stefan Posch,DF,Austria,26,1997,4.0,215,172,43,3,2,0,13,40,0,0,0,0,159,0,10
Yussuf Poulsen,"FW,MF",Denmark,29,1994,0.6,20,20,0,0,0,0,1,0,0,0,0,0,12,0,1
Alexander Prass,DF,Austria,22,2001,1.8,95,79,15,2,0,0,7,13,0,0,0,0,72,1,1
Lukáš Provod,MF,Czechia,27,1996,2.6,87,80,6,3,0,0,2,0,0,0,0,0,70,1,3
George Pușcaș,FW,Romania,27,1996,0.4,13,13,0,0,0,0,0,0,0,0,0,0,4,0,1
Leopold Querfeld,DF,Austria,20,2003,0.3,9,5,4,2,0,0,0,0,0,0,0,0,7,0,0
Adrien Rabiot,MF,France,28,1995,4.1,236,225,11,7,0,1,3,3,0,0,0,0,216,0,2
Bogdan Racovitan,DF,Romania,23,2000,0.6,25,24,1,1,0,0,0,0,0,0,0,0,23,0,0
Predrag Rajković,GK,Serbia,28,1995,3.0,103,78,24,7,0,0,0,0,0,0,0,0,68,1,0
Anthony Ralston,DF,Scotland,25,1998,2.9,95,85,10,1,0,1,9,9,0,0,0,0,67,0,5
Ylber Ramadani,MF,Albania,27,1996,2.9,103,101,2,2,0,0,2,0,0,0,0,0,94,0,0
Gonçalo Ramos,FW,Portugal,22,2001,0.3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Giacomo Raspadori,FW,Italy,23,2000,0.9,49,42,7,1,1,0,10,0,6,3,3,0,36,0,0
Andrei Ratiu,DF,Romania,25,1998,4.0,117,79,38,1,0,0,3,37,0,0,0,0,97,0,0
David Raum,DF,Germany,25,1998,1.8,99,86,13,0,0,0,7,12,1,0,0,0,75,0,4
David Raya,GK,Spain,28,1995,1.0,42,34,7,2,0,1,0,0,0,0,0,0,36,1,0
Tijjani Reijnders,MF,Netherlands,25,1998,5.5,265,261,3,2,3,1,1,0,0,0,0,0,246,1,3
Mateo Retegui,FW,Italy,24,1999,1.7,19,18,1,0,1,0,0,0,0,0,0,0,10,0,0
Declan Rice,MF,England,25,1999,7.7,530,516,12,11,1,5,7,1,0,0,0,0,484,2,6
Fabian Rieder,MF,Switzerland,21,2002,2.4,89,78,10,2,2,0,14,1,7,7,0,0,62,1,1
Andrew Robertson,DF,Scotland,29,1994,3.0,120,90,30,13,0,0,13,16,1,1,0,0,91,0,5
Rodri,MF,Spain,27,1996,5.8,439,430,7,6,0,4,0,1,0,0,0,0,408,2,1
Ricardo Rodríguez,DF,Switzerland,31,1992,5.3,250,229,20,5,1,2,10,14,1,0,1,0,214,1,1
Taras Romanchuk,MF,Poland,32,1991,0.6,14,14,0,0,0,0,0,0,0,0,0,0,11,0,0
Cristiano Ronaldo,FW,Portugal,38,1985,5.4,104,94,10,0,0,0,4,4,0,0,0,0,86,0,6
Antonio Rüdiger,DF,Germany,30,1993,5.3,409,401,7,5,2,0,8,2,0,0,0,0,372,1,1
Fabián Ruiz Peña,MF,Spain,27,1996,6.0,442,427,14,13,2,3,11,1,0,0,0,0,392,1,7
Adrian Rus,MF,Romania,27,1996,0.2,6,6,0,0,0,0,0,0,0,0,0,0,1,0,0
Marcel Sabitzer,"FW,MF",Austria,29,1994,4.0,170,149,21,4,1,0,29,2,13,6,7,0,110,0,6
Bukayo Saka,"FW,DF",England,22,2001,7.0,265,252,13,2,0,0,20,9,0,0,0,0,222,0,4
Bartosz Salamon,DF,Poland,32,1991,0.9,33,23,10,0,0,0,0,0,0,0,0,0,28,0,0
William Saliba,DF,France,22,2001,6.3,360,345,15,4,0,0,0,1,0,0,0,0,346,0,0
Roland Sallai,MF,Hungary,26,1997,3.0,79,76,3,0,1,0,7,2,0,0,0,0,61,0,2
Lazar Samardzic,MF,Serbia,21,2002,0.6,21,18,3,0,0,2,4,0,3,2,1,0,16,0,0
Leroy Sané,FW,Germany,28,1996,2.3,68,66,1,0,1,0,3,0,0,0,0,0,57,1,2
Leo Sauer,FW,Slovakia,18,2005,0.1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Gianluca Scamacca,FW,Italy,25,1999,2.8,51,46,5,1,3,0,0,0,0,0,0,0,32,0,2
András Schäfer,MF,Hungary,24,1999,3.0,135,125,10,4,0,0,2,1,0,0,0,0,117,0,2
Fabian Schär,DF,Switzerland,32,1991,5.3,255,238,16,14,0,9,6,2,0,0,0,0,211,1,5
Patrik Schick,FW,Czechia,28,1996,1.4,33,33,0,0,0,0,2,0,0,0,0,0,21,0,2
Nico Schlotterbeck,DF,Germany,24,1999,1.3,87,82,5,2,0,0,0,0,0,0,0,0,79,0,1
Kasper Schmeichel,GK,Denmark,37,1986,4.0,112,85,27,6,0,0,0,0,0,0,0,0,90,0,0
Romano Schmid,"FW,MF",Austria,24,2000,1.6,73,67,6,2,1,0,7,0,4,1,2,0,56,0,2
Jerdy Schouten,MF,Netherlands,27,1997,5.6,328,321,7,7,0,1,1,0,0,0,0,0,302,0,1
Ivan Schranz,FW,Slovakia,30,1993,3.7,86,82,1,0,0,0,4,1,0,0,0,0,62,3,3
Taulant Seferi,FW,Albania,27,1996,1.0,26,25,1,0,0,0,1,1,0,0,0,0,17,0,1
Nicolas Seiwald,MF,Austria,22,2001,4.0,235,232,3,2,2,0,1,1,0,0,0,0,205,0,4
Nélson Semedo,DF,Portugal,30,1993,1.1,56,48,7,1,0,0,3,6,0,0,0,0,50,1,1
Benjamin Šeško,FW,Slovenia,20,2003,4.0,71,70,0,0,0,0,1,0,0,0,0,0,43,1,3
Petr Ševčík,MF,Czechia,29,1994,0.2,26,26,0,0,0,0,0,0,0,0,0,0,20,0,1
Stephan El Shaarawy,FW,Italy,31,1992,0.5,10,10,0,0,0,0,0,0,0,0,0,0,8,0,0
Lawrence Shankland,FW,Scotland,28,1995,0.3,11,11,0,0,0,0,1,0,0,0,0,0,5,0,0
Mykola Shaparenko,MF,Ukraine,25,1998,2.4,129,126,2,2,2,1,3,0,0,0,0,0,111,1,2
Xherdan Shaqiri,"MF,FW",Switzerland,32,1991,0.8,38,27,10,1,0,0,6,0,7,5,0,0,26,1,0
Luke Shaw,DF,England,28,1995,2.0,87,72,15,4,0,1,7,11,0,0,0,0,76,0,1
Vincent Sierro,MF,Switzerland,28,1995,0.4,25,24,1,0,0,0,1,0,1,0,1,0,15,0,1
António Silva,DF,Portugal,20,2003,0.8,66,64,2,0,0,0,0,2,0,0,0,0,59,0,0
Bernardo Silva,"FW,MF",Portugal,29,1994,4.7,267,247,18,4,0,1,11,6,8,2,0,0,239,2,5
Unai Simón,GK,Spain,26,1997,6.3,245,199,45,10,0,0,0,0,0,0,0,0,191,1,1
Xavi Simons,"MF,FW",Netherlands,20,2003,5.0,184,177,4,1,0,1,8,0,2,1,1,0,152,3,4
Michał Skóraś,DF,Poland,23,2000,0.3,9,9,0,0,0,0,0,0,0,0,0,0,6,0,1
Łukasz Skorupski,GK,Poland,32,1991,1.0,29,14,15,2,0,0,0,0,0,0,0,0,24,0,0
Andreas Skov Olsen,"MF,FW",Denmark,24,1999,1.4,38,36,2,0,0,0,3,1,1,1,0,0,30,0,2
Milan Škriniar,DF,Slovakia,28,1995,4.3,282,263,18,14,0,3,0,0,0,0,0,0,257,1,0
Bartosz Slisz,MF,Poland,24,1999,1.2,43,43,0,0,0,0,0,0,0,0,0,0,35,0,0
Yann Sommer,GK,Switzerland,35,1988,5.3,167,142,24,6,0,0,0,0,0,0,0,0,138,1,0
Deian Sorescu,"MF,DF",Romania,26,1997,0.4,16,11,5,1,0,0,1,4,0,0,0,0,12,0,0
Borna Sosa,DF,Croatia,26,1998,0.1,2,2,0,0,0,0,1,0,0,0,0,0,1,0,0
Tomáš Souček,MF,Czechia,28,1995,3.0,94,92,2,2,0,1,2,0,0,0,0,0,74,0,1
Andraž Šporar,FW,Slovenia,29,1994,3.8,69,63,6,0,0,0,5,0,0,0,0,0,46,0,3
Nicolae Stanciu,"MF,FW",Romania,30,1993,3.9,113,100,13,5,0,3,8,0,5,1,0,0,83,0,5
Jindřich Staněk,GK,Czechia,27,1996,2.6,75,43,32,8,0,0,0,0,0,0,0,0,48,0,0
Josip Stanišić,DF,Croatia,23,2000,2.0,133,119,14,0,0,2,4,14,0,0,0,0,109,0,3
Renato Steffen,DF,Switzerland,32,1991,0.0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0
Taras Stepanenko,MF,Ukraine,34,1989,0.9,74,73,1,1,0,0,1,0,0,0,0,0,63,0,0
Leonidas Stergiou,DF,Switzerland,21,2002,0.5,11,8,3,0,0,0,0,3,0,0,0,0,6,0,1
Petar Stojanović,MF,Slovenia,28,1995,3.5,107,99,7,2,0,1,1,5,0,0,0,0,78,1,5
John Stones,DF,England,29,1994,7.7,559,548,11,10,1,8,0,0,0,0,0,0,525,0,2
Thomas Strakosha,GK,Albania,28,1995,3.0,93,57,35,5,0,0,0,0,0,0,0,0,65,1,0
Dávid Strelec,FW,Slovakia,22,2001,2.0,42,38,4,0,2,0,0,0,0,0,0,0,27,0,1
Callum Styles,MF,Hungary,23,2000,0.7,27,25,2,2,1,0,0,0,0,0,0,0,21,0,0
Luka Sučić,"FW,MF",Croatia,21,2002,1.6,84,81,3,3,1,2,2,0,0,0,0,0,77,0,1
Heorhiy Sudakov,MF,Ukraine,21,2002,2.9,120,115,5,1,0,1,5,1,2,0,1,0,100,0,3
Pavel Šulc,MF,Czechia,23,2000,0.9,16,16,0,0,0,0,0,0,0,0,0,0,12,0,2
Tomáš Suslov,"FW,MF",Slovakia,21,2002,1.4,54,47,7,1,0,1,12,3,2,1,1,0,38,0,5
Josip Šutalo,DF,Croatia,23,2000,3.0,199,194,5,4,0,0,0,1,0,0,0,0,191,0,0
Oleksandr Svatok,DF,Ukraine,29,1994,0.9,25,22,3,0,0,0,0,0,0,0,0,0,24,0,0
Karol Świderski,FW,Poland,27,1997,1.0,16,13,3,0,0,0,3,0,1,0,1,0,11,0,0
Serhiy Sydorchuk,MF,Ukraine,32,1991,0.1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0
Attila Szalai,DF,Hungary,26,1998,1.1,59,55,3,1,0,0,1,2,0,0,0,0,48,1,0
Wojciech Szczęsny,GK,Poland,33,1990,2.0,66,49,17,4,0,0,0,0,0,0,0,0,42,0,0
Dominik Szoboszlai,MF,Hungary,23,2000,3.0,149,107,39,13,0,5,16,10,15,6,5,0,110,3,3
Sebastian Szymański,MF,Poland,24,1999,1.2,37,34,3,0,0,0,3,0,2,0,2,0,30,0,1
Dušan Tadić,MF,Serbia,35,1988,1.7,87,77,9,1,1,0,14,0,8,5,2,0,65,1,0
Jonathan Tah,DF,Germany,27,1996,3.5,282,275,7,6,0,0,0,1,0,0,0,0,266,0,0
Maksym Talovierov,MF,Ukraine,23,2000,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Aurélien Tchouaméni,MF,France,24,2000,5.2,381,373,8,8,0,9,6,0,0,0,0,0,355,0,3
Arthur Theate,DF,Belgium,23,2000,2.8,197,168,29,5,0,2,2,24,0,0,0,0,169,0,2
Marcus Thuram,FW,France,26,1997,2.9,53,50,3,0,1,0,0,0,0,0,0,0,45,0,1
Youri Tielemans,MF,Belgium,26,1997,1.6,112,108,4,2,0,1,3,1,0,0,0,0,96,0,3
Kieran Tierney,DF,Scotland,26,1997,1.5,92,80,12,4,0,0,2,6,0,0,0,0,69,0,5
Ivan Toney,FW,England,27,1996,0.5,15,15,0,0,0,0,0,0,0,0,0,0,8,0,0
Ferrán Torres,"FW,MF",Spain,23,2000,1.7,46,40,6,1,1,1,8,1,4,1,1,0,34,0,2
Cenk Tosun,FW,Türkiye,32,1991,0.3,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0
Gernot Trauner,DF,Austria,31,1992,1.0,78,74,4,1,0,0,0,1,0,0,0,0,74,0,1
Kieran Trippier,DF,England,33,1990,5.0,357,310,46,11,0,4,13,25,10,3,4,0,313,1,4
Leandro Trossard,FW,Belgium,29,1994,1.9,70,68,2,2,0,1,3,0,0,0,0,0,55,0,2
Anatolii Trubin,GK,Ukraine,22,2001,2.0,70,52,17,3,0,0,0,0,0,0,0,0,55,1,0
Heorhii Tsitaishvili,"DF,MF",Georgia,23,2000,2.1,68,59,9,1,0,0,11,7,1,1,0,0,47,0,3
Viktor Tsyhankov,FW,Ukraine,26,1997,0.7,32,29,3,0,0,0,5,0,3,2,0,0,25,0,2
Ľubomír Tupta,MF,Slovakia,25,1998,0.1,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0
Oleksandr Tymchyk,DF,Ukraine,27,1997,2.2,83,59,23,1,0,0,8,22,0,0,0,0,66,1,3
Deniz Undav,MF,Germany,27,1996,0.1,2,2,0,0,1,0,0,0,0,0,0,0,1,0,0
Dayot Upamecano,DF,France,25,1998,6.3,371,357,14,13,0,8,1,1,0,0,0,0,339,0,2
Kacper Urbanski,"FW,MF",Poland,19,2004,1.6,49,49,0,0,1,0,1,0,0,0,0,0,41,0,0
Virgil van Dijk,DF,Netherlands,32,1991,6.0,394,364,29,11,0,0,0,0,0,0,0,0,356,1,0
Vladyslav Vanat,FW,Ukraine,22,2002,0.2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,1
Barnabás Varga,FW,Hungary,30,1994,2.8,54,52,1,0,0,0,0,0,0,0,0,0,27,1,1
Ruben Vargas,"MF,FW",Switzerland,25,1998,3.4,118,104,14,4,0,0,15,2,7,4,0,0,88,0,5
Denis Vavro,DF,Slovakia,27,1996,4.3,264,250,14,6,0,7,3,2,0,0,0,0,213,0,3
Joey Veerman,MF,Netherlands,25,1998,2.3,167,153,14,4,0,0,13,2,8,2,5,0,131,0,4
Miloš Veljković,DF,Serbia,28,1995,3.0,226,225,1,0,0,2,2,1,0,0,0,0,206,0,0
Micky van de Ven,DF,Netherlands,22,2001,0.8,43,35,8,1,0,0,1,7,0,0,0,0,33,0,1
Benjamin Verbič,MF,Slovenia,30,1993,0.8,14,14,0,0,1,0,1,0,0,0,0,0,6,0,1
Bart Verbruggen,GK,Netherlands,21,2002,6.0,209,181,28,6,0,0,0,0,0,0,0,0,177,0,0
Jan Vertonghen,DF,Belgium,36,1987,3.0,209,207,2,1,0,0,0,0,0,0,0,0,196,0,0
Jannik Vestergaard,DF,Denmark,31,1992,4.0,268,255,11,4,0,2,0,0,0,0,0,0,250,2,0
Žan Vipotnik,FW,Slovenia,21,2002,0.2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Vitinha,MF,Portugal,23,2000,4.0,323,306,16,3,2,1,15,2,11,3,4,0,294,1,7
Daniel Vivian,DF,Spain,24,1999,1.4,109,107,2,2,0,3,0,0,0,0,0,0,101,0,1
Dušan Vlahović,"MF,FW",Serbia,24,2000,2.0,27,26,1,0,0,1,0,1,0,0,0,0,15,0,1
Stefan de Vrij,DF,Netherlands,31,1992,6.0,416,406,10,9,1,2,1,1,0,0,0,0,381,0,2
Kyle Walker,DF,England,33,1990,7.7,554,487,66,12,0,7,4,54,0,0,0,0,490,1,9
Ollie Watkins,FW,England,28,1995,0.7,5,4,1,0,0,0,0,0,0,0,0,0,4,0,0
Wout Weghorst,FW,Netherlands,31,1992,1.5,31,30,1,0,0,0,1,0,0,0,0,0,22,0,2
Andreas Weimann,FW,Austria,32,1991,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Silvan Widmer,DF,Switzerland,30,1993,3.3,127,89,38,0,0,0,4,38,0,0,0,0,96,0,5
Georginio Wijnaldum,MF,Netherlands,33,1990,0.8,16,16,0,0,0,0,0,0,0,0,0,0,10,0,3
Nico Williams,FW,Spain,21,2002,5.5,220,196,24,3,1,2,33,0,21,14,1,0,179,0,5
Patrick Wimmer,"FW,MF",Austria,22,2001,1.5,48,42,5,1,0,0,8,0,4,2,2,0,32,1,2
Jonas Wind,FW,Denmark,24,1999,2.1,77,77,0,0,0,0,1,0,0,0,0,0,62,0,0
Florian Wirtz,"FW,MF",Germany,20,2003,3.1,190,178,11,2,2,1,5,6,2,0,0,0,168,1,2
Maximilian Wöber,DF,Austria,25,1998,1.9,118,117,1,1,0,0,3,0,0,0,0,0,101,0,1
Granit Xhaka,MF,Switzerland,31,1992,5.3,407,393,13,11,3,1,1,1,0,0,0,0,369,1,2
Lamine Yamal,FW,Spain,16,2007,5.6,205,188,16,2,2,0,24,2,12,7,0,0,158,1,9
Roman Yaremchuk,FW,Ukraine,28,1995,1.3,30,29,1,0,0,1,0,0,0,0,0,0,23,0,1
Andriy Yarmolenko,"FW,MF",Ukraine,34,1989,1.2,49,46,3,2,1,0,5,1,0,0,0,0,34,0,1
Yusuf Yazıcı,"MF,FW",Türkiye,27,1997,0.6,20,19,1,0,0,0,0,0,0,0,0,0,16,0,0
Kenan Yıldız,"FW,MF",Türkiye,18,2005,3.8,110,109,1,0,1,0,2,1,0,0,0,0,92,0,3
Okay Yokuşlu,"MF,DF",Türkiye,29,1994,0.6,28,28,0,0,0,0,0,0,0,0,0,0,26,0,0
